id,face_id,gender,age,firstname,lastname,height,department,birth_date,expiry_date
1,'0001',Male,52.0,Dallas,Pischke,1.84,Accounting,'28-04-2018','23-08-2034'
2,'0002',Female,65.0,Marlene,Scott,1.92,Law & Politics,'09-01-2005','22-07-2031'
3,'0003',Male,55.0,Gary,Petersen,1.81,Computer Science,'19-11-2015','09-03-2038'
4,'0004',Female,57.0,Kathy,Smith,1.73,Foreign Languages,'08-01-2013','02-11-2030'
5,'0005',Female,54.0,Bridget,Spillman,2.03,Software Engineering,'11-06-2016','12-04-2037'
6,'0006',Female,91.0,Pamela,Denny,1.95,Software Engineering,'06-11-1979','16-10-2035'
7,'0007',Female,80.0,Susan,Mccoy,2.03,Community Management,'24-11-1990','23-06-2033'
8,'0008',Male,84.0,Raymond,Konecny,2.08,Business Administration,'21-02-1986','16-03-2034'
9,'0009',Male,75.0,Robert,Doyle,1.98,Electrical Engineering,'26-05-1995','11-10-2033'
10,'0010',Female,106.0,Luisa,Collins,1.99,Local Languages,'20-02-1964','19-05-2030'
11,'0011',Female,68.0,Mary,Griffin,2.02,Foreign Languages,'06-10-2002','08-06-2032'
12,'0012',Female,55.0,Darlene,Howard,1.93,Law & Politics,'08-04-2015','15-08-2037'
13,'0013',Female,74.0,Alice,Hansen,1.91,Computer Science,'28-02-1996','22-07-2037'
14,'0014',Male,63.0,Matthew,Fitzgerald,1.63,Business Administration,'24-07-2007','10-12-2036'
15,'0015',Male,71.0,Lupe,Kilpatrick,1.84,Law & Politics,'26-03-1999','13-09-2035'
16,'0016',Male,53.0,Ron,Estrada,2.08,Software Engineering,'18-03-2017','25-01-2033'
17,'0017',Male,70.0,Martin,Odom,2.08,Accounting,'21-06-2000','16-09-2040'
18,'0018',Female,88.0,Patricia,Griego,1.74,Business Administration,'15-05-1982','06-11-2037'
19,'0019',Female,65.0,Evelyn,Quade,1.98,Business Administration,'21-05-2005','05-01-2039'
20,'0020',Female,95.0,Angela,Foster,1.72,Law & Politics,'10-07-1975','20-05-2039'
21,'0021',Female,70.0,Beatrice,Cantu,1.61,Local Languages,'01-08-2000','12-09-2030'
22,'0022',Female,70.0,Amy,Lara,1.99,Law & Politics,'25-04-2000','03-06-2039'
23,'0023',Male,82.0,William,Harden,1.78,Accounting,'12-03-1988','21-11-2036'
24,'0024',Female,71.0,Elaine,Toland,1.79,Community Management,'15-11-1999','13-03-2038'
25,'0025',Female,73.0,Rhonda,Banks,1.84,Local Languages,'23-05-1997','11-10-2031'
26,'0026',Male,52.0,Justin,Maurer,2.08,Foreign Languages,'11-04-2018','18-10-2040'
27,'0027',Male,66.0,Lorenzo,Flores,1.95,Software Engineering,'04-06-2004','15-01-2032'
28,'0028',Female,99.0,Wanda,Smith,2.04,Electrical Engineering,'17-04-1971','02-07-2039'
29,'0029',Male,55.0,Dale,Winslow,1.64,Foreign Languages,'09-01-2015','02-11-2034'
30,'0030',Male,69.0,Paul,Ciprian,1.87,Business Administration,'22-03-2001','22-04-2033'
31,'0031',Female,57.0,Jessie,Snethen,1.89,Local Languages,'08-10-2013','13-05-2038'
32,'0032',Female,87.0,Ashley,Gluck,1.69,Local Languages,'01-07-1983','24-12-2031'
33,'0033',Female,81.0,Kelly,Wiser,1.82,Foreign Languages,'14-07-1989','11-03-2035'
34,'0034',Female,61.0,Donna,Robles,1.99,Accounting,'12-08-2009','03-11-2039'
35,'0035',Female,76.0,Ramona,Cheesman,1.6,Community Management,'06-09-1994','11-05-2037'
36,'0036',Female,68.0,Melissa,White,1.9,Accounting,'16-07-2002','16-06-2038'
37,'0037',Male,91.0,Mario,Ortiz,2.1,Foreign Languages,'17-01-1979','28-06-2041'
38,'0038',Female,79.0,Maryland,Goods,1.87,Computer Science,'12-05-1991','11-09-2037'
39,'0039',Female,81.0,Anne,Shannon,1.89,Electrical Engineering,'26-02-1989','19-10-2034'
40,'0040',Male,56.0,John,Davidson,1.89,Local Languages,'25-12-2014','05-08-2034'
41,'0041',Female,62.0,Brandy,Madden,1.65,Foreign Languages,'05-11-2008','19-12-2039'
42,'0042',Female,57.0,Joyce,Hoggatt,1.6,Software Engineering,'27-07-2013','07-08-2039'
43,'0043',Female,57.0,Jennifer,Moody,1.89,Community Management,'27-05-2013','14-08-2030'
44,'0044',Female,66.0,Laurel,Aberle,1.69,Business Administration,'28-08-2004','02-05-2033'
45,'0045',Female,70.0,Nell,Husk,1.6,Software Engineering,'14-02-2000','02-03-2040'
46,'0046',Male,53.0,Bobby,Smalley,1.93,Software Engineering,'27-03-2017','06-08-2040'
47,'0047',Male,52.0,Michael,Ashby,2.04,Business Administration,'14-07-2018','09-01-2031'
48,'0048',Male,65.0,Randolph,Sanders,1.75,Electrical Engineering,'19-08-2005','14-10-2041'
49,'0049',Female,103.0,Mallory,Douglas,1.56,Electrical Engineering,'26-07-1967','19-02-2032'
50,'0050',Female,86.0,Patricia,Artis,1.99,Electrical Engineering,'13-09-1984','11-05-2034'
51,'0051',Female,52.0,Ruth,Sanderson,1.61,Law & Politics,'19-10-2018','27-06-2037'
